gene_biomarker_1,pathway_1,pathway_2,pathway_3,pathway_4,pathway_5
1,0.9638740703538453,0.2361580775193617,0.323936087084734,0.17709817198080946,0.1546183869437534
2,0.14974190594156822,0.1842738698886689,0.35077132474286665,0.5455161607255753,0.4269448675000873
3,0.9580089772250724,0.7381771594175093,0.4678823165367736,0.11402570249950905,0.7307718257411175
4,0.5799775465313999,0.9178122028843738,0.054710517235522116,0.6105735680058497,0.21932425423576896
5,0.534813891666951,0.6970278597060935,0.013311163042678653,0.6871629138553478,0.37717252924851186
6,0.5847421213276127,0.7193400894048133,0.20268683536484322,0.6227327769321808,0.7106634050014606
7,0.5128087783369928,0.7460548141416152,0.7310199931035102,0.3591504137124578,0.5321522642840515
8,0.2427994062607629,0.1604574395535564,0.9405728305295679,0.7773096361462075,0.5605659396420367
9,0.01480732085871661,0.7737951274359489,0.16738128544514963,0.015061560992392864,0.19544022234856184
10,0.22134250695544733,0.1876899073256143,0.45414302208544366,0.9480091265706213,0.607342158981489
